number,value,datetime_start,datetime_complete,duration,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_IMS_binarization_threshold,params_IMS_gaussian_sigma,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
15,-0.22066036343432271,2025-03-25 15:51:53.413312,2025-03-25 15:51:54.592573,0 days 00:00:01.179261,98.76057971597623,True,0.1826328624322623,0.19575682908975622,0.09217814282201403,0.11160013467466907,0.12531351739438443,4.318942045149417,5.0,0.4166666666666667,12.0,7.0,,,-0.5295848722423745,0.1874756680117342,"[[ 1.32980279e-02  2.41188013e-03  5.37200413e+02]
 [-2.41188013e-03  1.32980279e-02  1.57319875e+02]]",9.0,1.0000000000000004,1.0000000000000009,8.0,COMPLETE
16,0.0,2025-03-25 15:51:54.600228,2025-03-25 15:51:54.642769,0 days 00:00:00.042541,82.68505045402156,False,0.696849844988847,2.898688034532964,0.13410902852097728,0.0700013876221709,0.8186263220844664,3.3088671988759715,,,,,,,,,,,,,,COMPLETE
17,0.032981346451324486,2025-03-25 15:51:54.648929,2025-03-25 15:51:57.594829,0 days 00:00:02.945900,49.61439414889538,True,0.4272056067139025,3.7683006255290987,0.03607606686232029,0.03262770505438618,0.16676919267949966,4.922735710873679,76270.0,0.7613524062409535,100177.0,23907.0,,,0.043319422360749094,0.5186184915093851,"[[ 1.27323212e+00  5.61513377e-04  1.20560098e+02]
 [-5.61513377e-04  1.27323212e+00  1.28483534e+01]]",83397.0,1.0000000000010618,1.000000000005131,93050.0,COMPLETE
18,-0.03756555102689842,2025-03-25 15:51:57.602957,2025-03-25 15:51:59.303350,0 days 00:00:01.700393,62.22836820563903,False,0.1648813914029571,4.988772309713806,0.0754688302694404,0.08757537290403733,0.12064791356033205,2.2307252103744797,20402.0,0.7299463327370304,27950.0,7548.0,,,-0.05146344236848401,0.34410283646594025,"[[-8.79828562e-02 -6.62841579e-01  1.92565111e+02]
 [ 6.62841579e-01 -8.79828562e-02 -7.83110114e+00]]",22866.0,1.000000000000061,1.000000000000483,25486.0,COMPLETE
19,0.030945795133905864,2025-03-25 15:51:59.310851,2025-03-25 15:52:02.313861,0 days 00:00:03.003010,46.278740307534804,True,0.46626396824928107,3.995200445415064,0.12083170990023988,0.03159026001201119,0.2053132526931173,3.7110314182298314,73604.0,0.7504792201965822,98076.0,24472.0,,,0.04123471283561969,0.5293202662373091,"[[ 1.29350582e+00  4.27961144e-02  1.07057506e+02]
 [-4.27961144e-02  1.29350582e+00  2.33236423e+01]]",82152.0,1.0000000000018516,1.0000000000042333,89528.0,COMPLETE
20,-0.4,2025-03-25 15:52:02.322446,2025-03-25 15:52:03.452174,0 days 00:00:01.129728,60.1878830665097,True,0.36449482259743027,3.7337954769993202,0.17168264248222442,0.05180640808982787,0.10261418229731724,4.361566050997421,2.0,0.4,5.0,3.0,,,-1.0,-0.5670001142265003,"[[-7.96011607e-03 -4.45302393e-04  1.12415769e+02]
 [ 4.45302393e-04 -7.96011607e-03  2.28287433e+02]]",4.0,1.0000000000000002,1.0000000000000004,3.0,COMPLETE
21,0.01565199575288546,2025-03-25 15:52:03.459265,2025-03-25 15:52:06.433285,0 days 00:00:02.974020,45.96502908551818,True,0.5173525652140666,4.330332133018762,0.12014506018249065,0.025953169174946406,0.24649085399460596,3.743184950667469,65517.0,0.6833585397653195,95875.0,30358.0,,,0.02290451474896429,0.5322260455439894,"[[ 1.32499381e+00  4.28471939e-02  9.75120730e+01]
 [-4.28471939e-02  1.32499381e+00  2.02017666e+01]]",81717.0,1.000000000000858,1.000000000002622,79675.0,COMPLETE
22,-0.02156972843288422,2025-03-25 15:52:06.440572,2025-03-25 15:52:08.560976,0 days 00:00:02.120404,36.711512048029775,True,0.4404428222332383,3.893381682707927,0.12002382813679309,0.04253746816478546,0.19433959116660404,4.225116966025696,37074.0,0.6650283418239219,55748.0,18674.0,,,-0.03243429952733532,0.4112780457518747,"[[ 8.84588711e-01  7.03035855e-02  2.56478625e+02]
 [-7.03035855e-02  8.84588711e-01  7.00462047e+01]]",39543.0,1.000000000000871,1.0000000000025449,53279.0,COMPLETE
23,-0.005783893783161581,2025-03-25 15:52:08.569921,2025-03-25 15:52:10.158860,0 days 00:00:01.588939,52.26615187885205,True,0.6302643526663847,4.404006888697737,0.0893547458832897,0.07011090818571031,0.022462374691000903,3.303218354681928,15087.0,0.5566953248957603,27101.0,12014.0,,,-0.01038969347235779,0.3366202512132506,"[[ 6.45737916e-01 -1.47975312e-02  3.73029681e+02]
 [ 1.47975312e-02  6.45737916e-01  3.76657510e+01]]",23532.0,1.0000000000000904,1.0000000000007856,18656.0,COMPLETE
24,0.0,2025-03-25 15:52:10.167434,2025-03-25 15:52:11.335210,0 days 00:00:01.167776,72.08140190381005,True,0.14930263838524244,4.639247751808697,0.05300550554394008,0.022392255547577095,0.19114183039745838,4.896969127419408,0.0,0.0,1.0,1.0,,,,0.28383013828768655,"[[ 5.38841835e-03  3.72334355e-03  1.66870512e+02]
 [-3.72334355e-03  5.38841835e-03  1.44171284e+02]]",1.0,,1.0000000000000004,0.0,COMPLETE
