number,value,datetime_start,datetime_complete,duration,params_FISH_binarization_threshold,params_FISH_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
24,0.0,2025-03-17 17:18:55.738354,2025-03-17 17:18:56.852645,0 days 00:00:01.114291,0.6950664409277973,3.603983092421621,28.19416161942182,True,0.7384402992275685,1.3971248694322345,0.10123934694462715,0.022392255547577095,,,,,,,,,,,,,,COMPLETE
25,0.14563139099074957,2025-03-17 17:18:56.860629,2025-03-17 17:19:05.729208,0 days 00:00:08.868579,0.44895725963986177,2.051984933566551,42.58551877513578,True,0.42544825795923735,0.6011144732364286,0.0011707259432662924,0.056667059886449225,23162.0,0.2372475109599705,97628.0,74466.0,,,0.21058312367056742,0.6138373819033287,"[[ 1.22854703 -0.00345403 -1.7112084 ]
 [ 0.00345403  1.22854703  2.34824189]]",81730.0,0.9999999999999981,1.000000000003965,39060.0,COMPLETE
26,0.0,2025-03-17 17:19:05.748297,2025-03-17 17:19:09.274080,0 days 00:00:03.525783,0.29041518403447253,1.2895685380086679,51.32729746199369,True,0.5592168975784079,2.7744017749257726,0.053220100879583926,0.11745388362078243,,,,,,,,,,,,,,COMPLETE
27,0.0,2025-03-17 17:19:09.282591,2025-03-17 17:19:16.668753,0 days 00:00:07.386162,0.5548653078252679,0.4333382303542371,24.05373205876818,False,0.23790631211161511,1.034600897606397,0.18094966954982764,0.17589812030386534,1.0,1.0,1.0,0.0,,,,,"[[-5.79227819e-04 -3.08633581e-04  5.20740723e+01]
 [ 3.08633581e-04 -5.79227819e-04  5.84100451e+02]]",1.0,,,1.0,COMPLETE
28,0.0,2025-03-17 17:19:16.678105,2025-03-17 17:19:18.174977,0 days 00:00:01.496872,0.7001264115129283,2.6610640394535356,61.886123664620385,True,0.6915533068771509,0.34613336168910824,0.026645642979135062,0.08506040006710164,,,,,,,,,,,,,,COMPLETE
29,0.0,2025-03-17 17:19:18.181380,2025-03-17 17:19:18.250373,0 days 00:00:00.068993,0.35776043590341905,2.1685276721731594,40.7994645290789,True,0.8242903736988856,1.7258088285820004,0.023881991216445603,0.0006413482219066735,,,,,,,,,,,,,,COMPLETE
30,0.0,2025-03-17 17:19:18.256492,2025-03-17 17:19:19.024986,0 days 00:00:00.768494,0.4493683107488106,1.132651635091581,11.662107950259966,True,0.8431257580848205,2.2010824218173974,0.11765547037209072,0.06341580162281088,,,,,,,,,,,,,,COMPLETE
31,0.2901883286075669,2025-03-17 17:19:19.237668,2025-03-17 17:19:32.328409,0 days 00:00:13.090741,0.39529186469530325,2.000763351754827,37.68562141332831,True,0.405651867048392,0.6546914820090217,0.0021715320496986518,0.058673327027807025,47339.0,0.4045100317872646,117028.0,69689.0,,,0.425792915940709,0.7173822793106389,"[[ 1.21977374e+00  1.51970554e-03  8.03488873e-02]
 [-1.51970554e-03  1.21977374e+00  4.33087972e+00]]",86272.0,1.0000000000000087,1.000000000002087,78095.0,COMPLETE
32,0.2716549484308301,2025-03-17 17:19:32.346929,2025-03-17 17:19:43.528974,0 days 00:00:11.182045,0.34722699846180854,1.763131287890058,23.61439872705418,True,0.34481458089961303,0.9124437492072698,0.03122852457123357,0.024148508616717478,57085.0,0.3999257385858105,142739.0,85654.0,,,0.29273746178109306,0.6792634787434222,"[[ 1.21844950e+00  2.94155918e-03 -9.66110331e-01]
 [-2.94155918e-03  1.21844950e+00  4.22369984e+00]]",65263.0,1.0000000000000053,1.0000000000013063,134561.0,COMPLETE
33,0.24491601546706343,2025-03-17 17:19:43.551351,2025-03-17 17:19:52.328265,0 days 00:00:08.776914,0.343965985012533,2.7579697362928997,23.561345692448644,True,0.3476667738753689,1.0581562095608144,0.033794534157707584,0.02270172046971552,53768.0,0.36281436196414235,148197.0,94429.0,,,0.2923048488155967,0.6750449848268932,"[[ 1.22124706e+00  2.79015498e-03 -1.79163415e+00]
 [-2.79015498e-03  1.22124706e+00  5.12208727e+00]]",60959.0,1.0000000000000047,1.0000000000015237,141006.0,COMPLETE
34,0.0,2025-03-17 17:19:52.343857,2025-03-17 17:19:54.345569,0 days 00:00:02.001712,0.2132729387443631,3.363242716575513,23.686173772232728,True,0.34938113788960623,1.1452032307263516,0.035629361976239816,0.02105017328441066,,,,,,,,,,,,,,COMPLETE
35,0.39172407418700483,2025-03-17 17:19:54.354356,2025-03-17 17:19:59.828771,0 days 00:00:05.474415,0.2585500892474694,2.863230553195246,11.363422980562888,True,0.19375281690237808,2.7592804238101176,0.06699388575537917,0.018780099771650686,171361.0,0.5866136745641332,292119.0,120758.0,,,0.42568811966354564,0.6677718082144342,"[[ 1.21867218e+00  1.98723109e-03 -6.44822128e-01]
 [-1.98723109e-03  1.21867218e+00  6.03470015e+00]]",172617.0,0.99999999999999,1.0000000000025515,290863.0,COMPLETE
