number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
31,0.0061483932254107095,2025-04-02 16:58:12.140129,2025-04-02 16:59:43.870647,0 days 00:01:31.730518,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
32,0.0061483932254107095,2025-04-02 16:59:43.881362,2025-04-02 17:01:16.577150,0 days 00:01:32.695788,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
33,0.0061483932254107095,2025-04-02 17:01:16.586366,2025-04-02 17:02:47.967480,0 days 00:01:31.381114,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
34,0.0061483932254107095,2025-04-02 17:02:47.978337,2025-04-02 17:04:29.358709,0 days 00:01:41.380372,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
35,0.0061483932254107095,2025-04-02 17:04:29.371366,2025-04-02 17:06:11.224683,0 days 00:01:41.853317,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
36,0.0061483932254107095,2025-04-02 17:06:11.236604,2025-04-02 17:07:42.627351,0 days 00:01:31.390747,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
37,0.0061483932254107095,2025-04-02 17:07:42.638791,2025-04-02 17:09:13.454021,0 days 00:01:30.815230,0.0,0.0,100.0,False,0.0,0.0,0.0,0.11189769438118263,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
38,0.0061483932254107095,2025-04-02 17:09:13.463922,2025-04-02 17:10:44.460695,0 days 00:01:30.996773,0.0,0.0,100.0,False,0.0,0.0,0.0,0.09762262844250334,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
39,0.0061483932254107095,2025-04-02 17:10:44.477850,2025-04-02 17:12:15.120474,0 days 00:01:30.642624,0.0,0.0,100.0,False,0.0,0.0,0.0,0.08714366467690832,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
40,0.0061483932254107095,2025-04-02 17:12:15.132480,2025-04-02 17:13:46.243044,0 days 00:01:31.110564,0.0,0.0,100.0,False,0.0,0.0,0.0,0.2,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
41,0.0061483932254107095,2025-04-02 17:13:46.256396,2025-04-02 17:15:17.096021,0 days 00:01:30.839625,0.0,0.0,100.0,False,0.0,0.0,0.0,0.0742555890641443,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
42,0.0061483932254107095,2025-04-02 17:15:17.107684,2025-04-02 17:16:48.118716,0 days 00:01:31.011032,0.0,0.0,100.0,False,0.0,0.0,0.0,0.06709172644252079,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
43,0.0,2025-04-02 17:16:48.132033,2025-04-02 17:16:52.718739,0 days 00:00:04.586706,0.3914851608125467,0.0,100.0,False,0.0,0.0,0.0,0.1770879286041615,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
44,0.0061483932254107095,2025-04-02 17:16:52.729927,2025-04-02 17:18:24.432794,0 days 00:01:31.702867,0.0,0.0,100.0,True,0.0,0.0,0.0,0.1732056346325854,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
45,0.0061483932254107095,2025-04-02 17:18:24.444617,2025-04-02 17:19:54.645982,0 days 00:01:30.201365,0.0,0.0,99.99999999999999,True,0.0,0.0,0.0,0.16781978883845858,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
46,0.0,2025-04-02 17:19:54.665618,2025-04-02 17:19:56.183277,0 days 00:00:01.517659,0.0,0.0,100.0,True,0.0,0.0,0.0,0.1725650513326134,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
47,0.0,2025-04-02 17:19:56.195706,2025-04-02 17:19:57.931758,0 days 00:00:01.736052,0.0,0.0,99.99999999999999,False,0.0,2.2963956834851236,0.0,0.18104529397728267,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
48,0.0,2025-04-02 17:19:57.941091,2025-04-02 17:20:00.316715,0 days 00:00:02.375624,0.0,0.0,100.0,False,0.0,0.0,0.0,0.007823180630216585,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
49,0.0,2025-04-02 17:20:00.328995,2025-04-02 17:20:02.423163,0 days 00:00:02.094168,0.0,0.0,100.0,False,0.0,0.0,0.078547649944604,0.2,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
