number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
21,0.0,2025-04-02 16:13:35.819285,2025-04-02 16:13:36.894624,0 days 00:00:01.075339,0.24185229090045168,0.46551383902949606,63.67704427005353,False,0.7259556788702394,4.485551299762886,0.06780595820974014,0.06984191492253218,True,100000,0.9,IF,,-0.3037588050350624,0.0,0.0,2.0,2.0,,,,0.6001426176727276,"[[ 6.18770100e-03 -1.39431966e-03  9.56371997e+02]
 [ 1.39431966e-03  6.18770100e-03  5.79209452e+00]]",0.0,,0.8367917627037581,2.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
22,0.0,2025-04-02 16:13:36.905933,2025-04-02 16:13:37.146927,0 days 00:00:00.240994,0.8870864242651173,3.899377729288119,17.001242695366763,True,0.009197051616629648,0.5073577143301605,0.17971083770541585,0.121285811931918,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
23,0.15278997448907355,2025-04-02 16:13:37.157792,2025-04-02 16:13:38.728170,0 days 00:00:01.570378,0.6635017691080558,0.025307919231093434,69.49762457157664,False,0.7121792213475359,1.1862454374840004,0.13039225190052012,0.04485386189211196,True,100000,0.9,IF,0.5141404438908597,0.5213875703033003,1357.0,0.19040269398063703,7127.0,5770.0,,,0.2968846267118877,0.8024569993983988,"[[-9.99621463e-01  2.04406623e-03  4.96035565e+02]
 [-2.04406623e-03 -9.99621463e-01  5.73942836e+02]]",6185.0,0.5141404438908602,0.8024569993983679,2299.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
24,0.36123803961001094,2025-04-02 16:13:38.739545,2025-04-02 16:13:40.981833,0 days 00:00:02.242288,0.3253996981592677,3.732457025590121,66.10367633773399,False,0.3677158030594335,1.3260118384086272,0.11366172066709433,0.018734953565618495,True,100000,0.9,IF,0.3871741049085185,0.4778765089957217,15414.0,0.48427534638223,31829.0,16415.0,,,0.24505616287644205,0.7459352252982379,"[[-1.00152556e+00  7.65138133e-03  4.94480691e+02]
 [-7.65138133e-03 -1.00152556e+00  5.75046526e+02]]",17711.0,0.3871741049085183,0.7459352252982565,29532.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
25,0.006918821729291757,2025-04-02 16:13:40.992864,2025-04-02 16:13:42.792073,0 days 00:00:01.799209,0.24398964337908358,4.865052773762228,63.48272397372902,False,0.5769038846263591,2.4625884690943196,0.1589622607083297,0.10052741862103842,True,100000,0.9,IF,0.027445690034296352,0.1005697816701755,714.0,0.13416009019165728,5322.0,4608.0,,,0.006940095183717025,0.05157138549480494,"[[-3.00537342e-01  1.87541033e-01  2.96785811e+02]
 [-1.87541033e-01 -3.00537342e-01  2.34822029e+02]]",1921.0,0.22136763485101435,0.10742096556889938,4115.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
26,0.0,2025-04-02 16:13:42.807129,2025-04-02 16:13:43.056983,0 days 00:00:00.249854,0.1952429877980445,3.6122605763075266,64.90175729480961,True,0.9539285770025874,4.574321951102243,0.03542213588140979,0.18809171687058288,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
27,0.42002990433631543,2025-04-02 16:13:43.069574,2025-04-02 16:13:46.468194,0 days 00:00:03.398620,0.3701587002554444,0.07728308264433714,96.69882708532329,True,0.2944488920695857,1.9254886430096263,0.19272399541785057,0.170601891093472,True,100000,0.9,IF,0.4856385194728404,0.4904835245134827,22776.0,0.5705982563383104,39916.0,17140.0,,,0.308327140715832,0.7361219556326118,"[[-1.01193054e+00 -8.07981991e-03  4.99781685e+02]
 [ 8.07981991e-03 -1.01193054e+00  5.74482128e+02]]",39118.0,0.48563851947284303,0.7361219556325822,23574.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
28,0.0,2025-04-02 16:13:46.481729,2025-04-02 16:13:46.782944,0 days 00:00:00.301215,0.8511366715168569,1.5846100257813882,93.67932264191731,False,0.09717649377076854,3.075036133495849,0.1392059593349946,0.114012234017873,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
29,0.0,2025-04-02 16:13:46.795275,2025-04-02 16:13:47.026849,0 days 00:00:00.231574,0.9900538501042633,0.7004200761826201,74.33609315766624,False,0.35949115121975517,1.4679592213224668,0.1394031481990536,0.14049681679742185,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
30,0.0,2025-04-02 16:13:47.040299,2025-04-02 16:13:47.291077,0 days 00:00:00.250778,0.8093611554785136,4.050566973395904,51.62289748723284,False,0.6499639307777652,3.509834386288517,0.10030325893743992,0.15965903579335505,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
31,0.0,2025-04-02 16:13:47.303093,2025-04-02 16:13:47.558348,0 days 00:00:00.255255,0.795792669436101,4.450026709087831,10.30421204424603,False,0.46559801813246016,2.713223173537883,0.1156560281992348,0.007188454759348418,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
32,-0.0,2025-04-02 16:13:47.571282,2025-04-02 16:13:48.777544,0 days 00:00:01.206262,0.2865412521282844,2.9541663028450538,82.43745550530616,False,0.5222432600548044,3.849967765493054,0.07203812828225258,0.025412102530376957,True,100000,0.9,IF,,,0.0,0.0,3.0,3.0,,,,-0.7774626466954224,"[[ 8.88771413e-04  4.43219677e-03  3.14447811e+02]
 [-4.43219677e-03  8.88771413e-04  1.66301974e+02]]",0.0,,0.9999701695691118,3.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
33,0.0,2025-04-02 16:13:48.791245,2025-04-02 16:13:49.973546,0 days 00:00:01.182301,0.21582102749684318,3.114452379095001,53.60410852524665,True,0.7260913337226615,4.879260397312673,0.10812702432202131,0.1274859802996413,True,100000,0.9,IF,,,0.0,0.0,3.0,3.0,,,,0.5290712017698246,"[[ 4.50956524e-03  1.42094432e-03  8.08513731e+02]
 [-1.42094432e-03  4.50956524e-03  6.72565516e+01]]",0.0,,0.7827046823522915,3.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
34,0.0,2025-04-02 16:13:49.989504,2025-04-02 16:13:50.231363,0 days 00:00:00.241859,0.5163003483011953,1.6147823647062298,44.458170649857976,True,0.9626484146779251,4.1799006025610295,0.01569127626845319,0.005070148683091503,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
